fold,model,dimension,value,rows,mean_prediction,positive_prediction_fraction,mae,rmse,r2,smape_pct
fold_2,linear_regression,weekend,0,138336,20.318192466017013,0.8146180314596345,4.6479814057396664,13.021463601793904,0.9504282866546525,79.89483903272763
fold_2,ridge,weekend,0,138336,20.339101452348874,0.8204082812861438,4.660957952343122,13.031011443914442,0.9503555641974598,80.55634834144686
fold_2,hist_gradient_boosting,weekend,0,138336,20.34317403588084,0.999884339578996,3.854486171554986,10.977046563017973,0.9647722147761689,102.58744790867313
fold_2,hist_gradient_boosting_poisson,weekend,0,138336,20.387568541637872,1.0,3.903736719466646,11.78783108260332,0.9593760513318335,101.89784583249906
fold_2,hist_gradient_boosting_absolute,weekend,0,138336,19.421875693692414,0.9812413254684247,4.230246257652456,13.853146862805401,0.9438937550050654,104.81164908357371
fold_2,previous_hour,weekend,1,56330,20.30734954731049,0.6324161192969998,5.677756080241434,16.52122348655307,0.9069468172428052,62.25863913672459
fold_2,previous_day_24h,weekend,1,56330,21.68933072962897,0.6393751109533109,8.199201136161903,27.779362303663934,0.7369178611565497,66.35503700046335
fold_2,previous_week_168h,weekend,1,56330,19.536907509320077,0.6374045801526718,5.069430143795491,15.658027175178876,0.9164164322455073,61.76864856515603
fold_2,zone_hour_average,weekend,1,56330,19.87094103379611,0.9511450381679389,8.433583936313335,28.82626075598057,0.7167150896081649,98.35319228577774
fold_2,rolling_mean_24h,weekend,1,56330,22.161714450559206,0.9219953843422688,12.400034765370732,36.706696955500796,0.5406566506223831,97.0579483232139
fold_2,linear_regression,weekend,1,56330,19.91915533414698,0.6534883720930232,4.223376352367219,11.967953713438803,0.9511700115203798,66.78726892522772
fold_2,ridge,weekend,1,56330,19.92622680081227,0.665755370140245,4.2234421076195146,11.967716843901188,0.9511719443858654,67.99862364254795
fold_2,hist_gradient_boosting,weekend,1,56330,19.638882230315446,1.0,3.865875187471184,10.775734493212816,0.9604140944310565,101.21825349539729
