fold,date_nyc,model,rows,mae
fold_1,2026-02-14,linear_regression,6288,4.116347562513175
fold_1,2026-02-14,ridge,6288,4.119395219807953
fold_1,2026-02-14,hist_gradient_boosting,6288,3.9683984830796857
fold_1,2026-02-14,hist_gradient_boosting_poisson,6288,4.169083179720421
fold_1,2026-02-14,hist_gradient_boosting_absolute,6288,4.14418671662279
fold_1,2026-02-15,previous_hour,6288,5.396628498727735
fold_1,2026-02-15,previous_day_24h,6288,6.163645038167939
fold_1,2026-02-15,previous_week_168h,6288,6.741730279898219
fold_1,2026-02-15,zone_hour_average,6288,7.8408946333564655
fold_1,2026-02-15,rolling_mean_24h,6288,10.640412955894828
fold_1,2026-02-15,linear_regression,6288,4.019264804109076
fold_1,2026-02-15,ridge,6288,4.0232364149156234
fold_1,2026-02-15,hist_gradient_boosting,6288,3.553191737614427
fold_1,2026-02-15,hist_gradient_boosting_poisson,6288,3.5908513731145133
fold_1,2026-02-15,hist_gradient_boosting_absolute,6288,3.6694337658168386
fold_1,2026-02-16,previous_hour,6288,3.927480916030534
fold_1,2026-02-16,previous_day_24h,6288,7.034351145038168
fold_1,2026-02-16,previous_week_168h,6288,7.604643765903308
fold_1,2026-02-16,zone_hour_average,6288,7.689992482072635
fold_1,2026-02-16,rolling_mean_24h,6288,8.54455576759966
fold_1,2026-02-16,linear_regression,6288,3.952008171401693
fold_1,2026-02-16,ridge,6288,3.9680059942268926
fold_1,2026-02-16,hist_gradient_boosting,6288,3.377774125794022
fold_1,2026-02-16,hist_gradient_boosting_poisson,6288,3.376281965743949
fold_1,2026-02-16,hist_gradient_boosting_absolute,6288,3.109538559698821
fold_1,2026-02-17,previous_hour,6288,4.718511450381679
fold_1,2026-02-17,previous_day_24h,6288,6.465489821882952
fold_1,2026-02-17,previous_week_168h,6288,4.902671755725191
fold_1,2026-02-17,zone_hour_average,6288,5.568580846634281
fold_1,2026-02-17,rolling_mean_24h,6288,10.199944338422393
fold_1,2026-02-17,linear_regression,6288,3.8238532874984883
fold_1,2026-02-17,ridge,6288,3.8456287693064235
fold_1,2026-02-17,hist_gradient_boosting,6288,3.0475519597568335
fold_1,2026-02-17,hist_gradient_boosting_poisson,6288,3.1521730631102955
fold_1,2026-02-17,hist_gradient_boosting_absolute,6288,3.211589541624001
fold_1,2026-02-18,previous_hour,6288,5.919370229007634
fold_1,2026-02-18,previous_day_24h,6288,4.743797709923665
fold_1,2026-02-18,previous_week_168h,6288,4.053912213740458
fold_1,2026-02-18,zone_hour_average,6288,5.595208767059912
fold_1,2026-02-18,rolling_mean_24h,6288,11.796775604325699
fold_1,2026-02-18,linear_regression,6288,4.397779979579684
fold_1,2026-02-18,ridge,6288,4.416072916483518
fold_1,2026-02-18,hist_gradient_boosting,6288,3.525620606835911
fold_1,2026-02-18,hist_gradient_boosting_poisson,6288,3.6363462559839568
fold_1,2026-02-18,hist_gradient_boosting_absolute,6288,3.831223116651714
fold_1,2026-02-19,previous_hour,6288,5.428912213740458
fold_1,2026-02-19,previous_day_24h,6288,3.965330788804071
fold_1,2026-02-19,previous_week_168h,6288,4.654421119592875
fold_1,2026-02-19,zone_hour_average,6288,5.051922854499191
fold_1,2026-02-19,rolling_mean_24h,6288,12.115544158184903
fold_1,2026-02-19,linear_regression,6288,3.936361122651806
fold_1,2026-02-19,ridge,6288,3.9447394990590365
fold_1,2026-02-19,hist_gradient_boosting,6288,3.559737323781158
fold_1,2026-02-19,hist_gradient_boosting_poisson,6288,3.744349333900047
fold_1,2026-02-19,hist_gradient_boosting_absolute,6288,3.632512462467482
fold_1,2026-02-20,previous_hour,6288,5.822360050890585
fold_1,2026-02-20,previous_day_24h,6288,5.013994910941475
fold_1,2026-02-20,previous_week_168h,6288,4.7694020356234095
fold_1,2026-02-20,zone_hour_average,6288,4.35247802452001
fold_1,2026-02-20,rolling_mean_24h,6288,11.852278148854962
fold_1,2026-02-20,linear_regression,6288,4.257045468011305
fold_1,2026-02-20,ridge,6288,4.265502268208894
fold_1,2026-02-20,hist_gradient_boosting,6288,3.752114023974912
fold_1,2026-02-20,hist_gradient_boosting_poisson,6288,3.918114711554023
fold_1,2026-02-20,hist_gradient_boosting_absolute,6288,3.9009014361466297
fold_1,2026-02-21,previous_hour,6288,5.919529262086514
fold_1,2026-02-21,previous_day_24h,6288,8.383110687022901
fold_1,2026-02-21,previous_week_168h,6288,4.4726463104325695
fold_1,2026-02-21,zone_hour_average,6288,7.313867684478371
fold_1,2026-02-21,rolling_mean_24h,6288,13.605465436810858
fold_1,2026-02-21,linear_regression,6288,4.185745843310769
fold_1,2026-02-21,ridge,6288,4.18325883981929
fold_1,2026-02-21,hist_gradient_boosting,6288,3.7812739482966142
fold_1,2026-02-21,hist_gradient_boosting_poisson,6288,3.8864440485404055
fold_1,2026-02-21,hist_gradient_boosting_absolute,6288,4.258474999243693
fold_1,2026-02-22,previous_hour,6288,4.735209923664122
fold_1,2026-02-22,previous_day_24h,6288,11.549936386768447
fold_1,2026-02-22,previous_week_168h,6288,7.832220101781171
fold_1,2026-02-22,zone_hour_average,6288,12.42318413139024
fold_1,2026-02-22,rolling_mean_24h,6288,11.619818172179814
fold_1,2026-02-22,linear_regression,6288,5.335107014110919
fold_1,2026-02-22,ridge,6288,5.327227771657196
fold_1,2026-02-22,hist_gradient_boosting,6288,4.056570331438847
fold_1,2026-02-22,hist_gradient_boosting_poisson,6288,3.8861982279802216
fold_1,2026-02-22,hist_gradient_boosting_absolute,6288,4.080265306033576
fold_1,2026-02-23,previous_hour,6288,1.767970737913486
fold_1,2026-02-23,previous_day_24h,6288,10.832538167938932
fold_1,2026-02-23,previous_week_168h,6288,10.50381679389313
fold_1,2026-02-23,zone_hour_average,6288,16.502061647004396
fold_1,2026-02-23,rolling_mean_24h,6288,6.4362807463952505
fold_1,2026-02-23,linear_regression,6288,4.214946046610146
fold_1,2026-02-23,ridge,6288,4.202999581647587
fold_1,2026-02-23,hist_gradient_boosting,6288,2.939929330755745
fold_1,2026-02-23,hist_gradient_boosting_poisson,6288,2.2135993844265904
fold_1,2026-02-23,hist_gradient_boosting_absolute,6288,2.2406877225217032
fold_1,2026-02-24,previous_hour,6288,5.192111959287532
fold_1,2026-02-24,previous_day_24h,6288,13.209128498727736
fold_1,2026-02-24,previous_week_168h,6288,4.995229007633588
fold_1,2026-02-24,zone_hour_average,6288,6.5623583159842696
fold_1,2026-02-24,rolling_mean_24h,6288,11.133150445292621
fold_1,2026-02-24,linear_regression,6288,5.324968448748151
fold_1,2026-02-24,ridge,6288,5.366968359138653
fold_1,2026-02-24,hist_gradient_boosting,6288,3.9161910566337745
fold_1,2026-02-24,hist_gradient_boosting_poisson,6288,4.019267765517799
fold_1,2026-02-24,hist_gradient_boosting_absolute,6288,5.859535207262349
fold_1,2026-02-25,previous_hour,6288,5.746978371501272
fold_1,2026-02-25,previous_day_24h,6288,4.88279262086514
fold_1,2026-02-25,previous_week_168h,6288,4.6211832061068705
fold_1,2026-02-25,zone_hour_average,6288,6.097400532037937
fold_1,2026-02-25,rolling_mean_24h,6288,11.494288061916878
fold_1,2026-02-25,linear_regression,6288,4.123634496448471
fold_1,2026-02-25,ridge,6288,4.141974218804595
fold_1,2026-02-25,hist_gradient_boosting,6288,3.561942864880456
fold_1,2026-02-25,hist_gradient_boosting_poisson,6288,3.633692087691763
fold_1,2026-02-25,hist_gradient_boosting_absolute,6288,3.8403737351047216
fold_1,2026-02-26,previous_hour,6288,5.839376590330788
fold_1,2026-02-26,previous_day_24h,6288,4.359096692111959
fold_1,2026-02-26,previous_week_168h,6288,4.161895674300254
fold_1,2026-02-26,zone_hour_average,6288,5.856069280592181
fold_1,2026-02-26,rolling_mean_24h,6288,12.585751961407974
fold_1,2026-02-26,linear_regression,6288,4.1799542438604105
fold_1,2026-02-26,ridge,6288,4.191359887708333
fold_1,2026-02-26,hist_gradient_boosting,6288,3.4647051439200265
fold_1,2026-02-26,hist_gradient_boosting_poisson,6288,3.49751080395441
fold_1,2026-02-26,hist_gradient_boosting_absolute,6288,3.7526603852306897
fold_1,2026-02-27,previous_hour,6288,6.110846055979644
fold_1,2026-02-27,previous_day_24h,6288,5.7264631043257
fold_1,2026-02-27,previous_week_168h,6288,4.951653944020356
fold_1,2026-02-27,zone_hour_average,6288,5.525586976636594
fold_1,2026-02-27,rolling_mean_24h,6288,13.025988655640374
fold_1,2026-02-27,linear_regression,6288,4.481568470612179
fold_1,2026-02-27,ridge,6288,4.482396948120264
fold_1,2026-02-27,hist_gradient_boosting,6288,3.8719810776676344
fold_1,2026-02-27,hist_gradient_boosting_poisson,6288,3.950693078523121
fold_1,2026-02-27,hist_gradient_boosting_absolute,6288,4.13057250943096
fold_1,2026-02-28,previous_hour,6288,5.975349872773537
fold_1,2026-02-28,previous_day_24h,6288,8.569338422391857
fold_1,2026-02-28,previous_week_168h,6288,4.100031806615776
fold_1,2026-02-28,zone_hour_average,6288,7.755855308813325
fold_1,2026-02-28,rolling_mean_24h,6288,13.478961248939777
fold_1,2026-02-28,linear_regression,6288,4.254497487199898
fold_1,2026-02-28,ridge,6288,4.239014165187917
fold_1,2026-02-28,hist_gradient_boosting,6288,3.863332366384384
fold_1,2026-02-28,hist_gradient_boosting_poisson,6288,3.9705324008965373
fold_1,2026-02-28,hist_gradient_boosting_absolute,6288,4.345127470719259
fold_2,2026-03-01,previous_hour,6288,5.516062340966921
fold_2,2026-03-01,previous_day_24h,6288,8.141857506361323
fold_2,2026-03-01,previous_week_168h,6288,6.509701017811705
fold_2,2026-03-01,zone_hour_average,6288,9.275895567000827
fold_2,2026-03-01,rolling_mean_24h,6288,11.895429124257845
fold_2,2026-03-01,linear_regression,6288,4.108039990831859
fold_2,2026-03-01,ridge,6288,4.097305900639769
fold_2,2026-03-01,hist_gradient_boosting,6288,3.5643227496934697
fold_2,2026-03-01,hist_gradient_boosting_poisson,6288,3.6474496804339616
fold_2,2026-03-01,hist_gradient_boosting_absolute,6288,4.139739260989953
fold_2,2026-03-02,previous_hour,6288,5.317589058524173
fold_2,2026-03-02,previous_day_24h,6288,11.186545801526718
fold_2,2026-03-02,previous_week_168h,6288,14.819497455470739
fold_2,2026-03-02,zone_hour_average,6288,5.87517244550722
fold_2,2026-03-02,rolling_mean_24h,6288,11.510979908821035
fold_2,2026-03-02,linear_regression,6288,6.767602220515942
fold_2,2026-03-02,ridge,6288,6.807261508271107
fold_2,2026-03-02,hist_gradient_boosting,6288,5.175158226687991
