zone_id,Zone,borough,pickups
6,Arrochar/Fort Wadsworth,Staten Island,420
96,Forest Park/Highland Park,Queens,380
58,Country Club,Bronx,380
46,City Island,Bronx,348
221,Stapleton,Staten Island,307
57,Corona,Queens,295
154,Marine Park/Floyd Bennett Field,Brooklyn,281
214,South Beach/Dongan Hills,Staten Island,268
8,Astoria Park,Queens,216
184,Pelham Bay Park,Bronx,202
23,Bloomfield/Emerson Hill,Staten Island,189
115,Grymes Hill/Clifton,Staten Island,182
59,Crotona Park,Bronx,168
172,New Dorp/Midland Beach,Staten Island,131
118,Heartland Village/Todt Hill,Staten Island,123
251,Westerleigh,Staten Island,114
30,Broad Channel,Queens,97
253,Willets Point,Queens,96
206,Saint George/New Brighton,Staten Island,74
27,Breezy Point/Fort Tilden/Riis Beach,Queens,70
176,Oakwood,Staten Island,70
156,Mariners Harbor,Staten Island,64
109,Great Kills,Staten Island,62
245,West Brighton,Staten Island,52
111,Green-Wood Cemetery,Brooklyn,46
187,Port Richmond,Staten Island,39
2,Jamaica Bay,Queens,37
84,Eltingville/Annadale/Prince's Bay,Staten Island,22
5,Arden Heights,Staten Island,15
204,Rossville/Woodrow,Staten Island,13
44,Charleston/Tottenville,Staten Island,11
199,Rikers Island,Bronx,7
99,Freshkills Park,Staten Island,5
105,Governor's Island/Ellis Island/Liberty Island,Manhattan,5
103,Governor's Island/Ellis Island/Liberty Island,Manhattan,0
104,Governor's Island/Ellis Island/Liberty Island,Manhattan,0
110,Great Kills Park,Staten Island,0
