dimension,value,rows,mae,rmse,r2,smape_pct
zone_id,162,720,18.835328640313755,27.987166990931406,0.9458420111904373,17.275991333511563
zone_id,163,720,16.442246922512084,25.066820194433,0.9375407975927137,18.079797690174775
zone_id,164,720,13.699799476218134,20.83673580387573,0.9032691087139912,18.13388150652614
zone_id,165,720,0.9604376877638767,1.35079371360938,0.5240000142679535,117.25372609758031
zone_id,166,720,7.428473872502486,10.752815403972924,0.8035362286465334,24.986869240814915
zone_id,167,720,1.1412334680980745,1.636089038867321,0.3497085321114126,103.15844243922967
zone_id,168,720,1.8186613120253823,2.84240387823567,0.18717196379679502,65.32101089272125
zone_id,169,720,1.0240868746488634,1.4149334972893723,0.28788336268100756,107.4386882752911
zone_id,170,720,14.816815731309683,20.76480161313879,0.9447508219158757,16.296942355958834
zone_id,171,720,0.5328052159577449,0.6692478279646972,0.02860151083545981,164.5895870554536
zone_id,172,720,0.2398927967081674,0.2597355503068296,-3.484240169087129,198.97130926991014
zone_id,173,720,0.7679366019686925,1.1917682447076292,-0.006569531322725197,144.06300667257665
zone_id,174,720,0.9100861124577297,1.2227672921965838,0.2367276424947976,119.03118269763333
zone_id,175,720,0.4334970289027503,0.5490765406471187,0.08486832128126032,173.38260178117065
zone_id,176,720,0.23655246330983432,0.26748274965192637,-2.703072671098888,199.46668850847195
zone_id,177,720,1.6579118175132377,2.352605027909217,0.5402959772015733,72.38687747602606
zone_id,178,720,0.4513537559676759,0.5924676817235726,0.09592943373789575,173.97980465804648
zone_id,179,720,1.9048890167462338,2.5912892266436107,0.34457931543410336,64.97271100158501
zone_id,180,720,0.7378052824455232,0.9444791884877547,0.07385572920885919,139.14558749649194
zone_id,181,720,2.4764957048096607,3.595307613863532,0.5547282915177503,63.7912459720163
zone_id,182,720,1.0862410034459271,1.562380244045788,0.5847778570715303,107.006019812524
zone_id,183,720,0.5545912793965437,0.7187468876163577,0.21625090531720736,160.7675333426008
zone_id,184,720,0.26968166580994646,0.3130308894904333,-0.42054180213789816,194.06206402411848
zone_id,185,720,0.7599800532411171,1.045232532708711,0.24290204181848818,131.23762942472018
zone_id,186,720,25.226092470501783,37.678755568685624,0.8328137627450828,19.91437971767099
zone_id,187,720,0.2303372386049679,0.2433631040630091,-9.720164545148206,199.62526905776193
zone_id,188,720,2.238292402532246,2.989098118917499,0.6166960944734782,57.084932428040744
zone_id,189,720,1.3028777070251951,1.8007878728346407,0.34252010212807404,87.85654782264173
zone_id,190,720,0.5965383553352381,0.7933056573562343,0.18498438368957348,158.98567147371787
zone_id,191,720,0.9861365204639027,1.3594017875991993,0.3235298315271785,109.94839952775169
zone_id,192,720,0.5142897503175518,0.6979885683274467,0.006110397732525974,168.19184661959747
zone_id,193,720,2.003725355183108,2.785677971535134,0.2861021858451469,74.60834162337444
zone_id,194,720,0.43401930257122356,0.5665801244604387,0.037762752072454386,175.70207656721607
zone_id,195,720,1.6170807626525248,3.0558221162765964,0.4789250094860039,104.920137586083
zone_id,196,720,1.0464920392812647,1.384204547609721,0.20361354902696327,111.6024210902577
zone_id,197,720,1.6250075895161424,2.213425332768938,0.27733646613689755,85.77202302819624
zone_id,198,720,1.4598599514208448,2.085058804868823,0.40527585384487597,89.15463576972061
zone_id,199,720,0.22699641885968305,0.23733026739845392,-39.61087618756855,199.885488356183
zone_id,200,720,0.7268339310974394,0.9918831144753129,0.16771204657738403,140.65200802187564
zone_id,201,720,0.5465276262633628,0.7065439426177329,0.062309658047779104,159.35559700473394
zone_id,202,720,0.782434502990376,1.0377313122382577,0.1395055125043574,120.64865451845569
zone_id,203,720,0.6666729336404333,0.8740502648673185,0.06733406679497256,146.67310379973182
zone_id,204,720,0.23016305487713962,0.2477403453304489,-7.860190609965725,199.87459269689649
zone_id,205,720,1.2203562755657928,1.747428497742299,0.41985993471689054,95.9894288453364
zone_id,206,720,0.23997006338287166,0.2639875408856771,-2.190303446794619,198.49746860416369
zone_id,207,720,0.4758021436521581,0.7250568775756452,0.022767267842641714,181.55116152188967
zone_id,208,720,0.754271436484835,0.9889872174679006,0.2495384857444981,128.73734218225283
zone_id,209,720,3.13267746660025,4.48606174988305,0.7308722449340861,44.71076102611178
zone_id,210,720,0.9920750334678808,1.3811612734404575,0.4333634400844001,111.82459786114563
zone_id,211,720,7.533378800064336,11.130455167938749,0.9031722334872061,31.35576317703585
zone_id,212,720,0.8264962949605736,1.1627532497166582,0.43297714506877094,126.24720736300398
zone_id,213,720,1.2850339764946486,1.9138617941598726,0.5455774110080399,98.94451179391044
zone_id,214,720,0.2634169845246239,0.31192794364798626,-0.8159498627431714,196.8543867763046
zone_id,215,720,1.2634038862170394,1.7092583785208384,0.3516428833511791,97.25116798749417
zone_id,216,720,1.8161578462142498,2.424570844200076,0.26879976917883264,56.80881607234074
zone_id,217,720,0.7485117898909806,0.9461788797825167,0.1141356215117445,131.80025242530675
zone_id,218,720,1.0902091752868446,1.4810986511337392,0.40274615994179197,112.59651703366087
zone_id,219,720,1.001214091869332,1.2903807041070052,0.08900403666234113,99.8727439283609
zone_id,220,720,0.9055439165665291,1.199397315473143,0.17894572888199334,116.73879042851266
zone_id,221,720,0.2563749953487042,0.30001210001171313,-0.7205562027929624,196.58820485462334
zone_id,222,720,1.093975464980311,1.546301508415625,0.48564220796704594,109.76601160705897
zone_id,223,720,1.6813526098397322,2.1741131928122077,0.1848567013646535,61.88081614058229
