fold,model,dimension,value,rows,mean_prediction,positive_prediction_fraction,mae,rmse,r2,smape_pct,delay_hours
fold_1,previous_week_168h,local_hour,9,7336,19.582197382769902,0.7300981461286805,5.544302071973828,14.571538825036733,0.8924689006805503,61.87518112627693,3
fold_1,zone_hour_average,local_hour,9,7336,20.00673143650243,0.9465648854961832,6.087355011400813,16.82415610397988,0.8566525971691563,78.98079503321603,3
fold_1,rolling_mean_24h,local_hour,9,7336,19.319292984369323,0.9201199563794984,9.096862504543804,23.992497185244464,0.7084761067864577,84.31224850975953,3
fold_1,hist_gradient_boosting,local_hour,9,7336,19.90138724178272,1.0,5.020457884744693,12.994725197292205,0.9144820168891132,87.7430025816783,3
fold_1,latest_available,local_hour,9,7336,4.277126499454743,0.6185932388222465,15.46851145038168,41.92947777960308,0.10964714225198668,92.2019851329216,3
fold_1,previous_day_24h,local_hour,10,7336,19.222737186477644,0.6811613958560524,5.184432933478735,14.852340286824766,0.8923962859263272,65.0219021722844,3
fold_1,previous_week_168h,local_hour,10,7336,19.585741548527807,0.6947928026172301,5.290076335877862,14.99714622071612,0.8902878485650565,64.82036336957707,3
fold_1,zone_hour_average,local_hour,10,7336,20.97418459403192,0.9389312977099237,4.786574303559037,14.308394796034722,0.9001336196357091,80.66068637411932,3
fold_1,rolling_mean_24h,local_hour,10,7336,19.319486095965104,0.9206652126499455,7.2720260814249365,19.848946210015725,0.8078181412217615,83.91794614761878,3
fold_1,hist_gradient_boosting,local_hour,10,7336,19.18844858328302,1.0,4.577038297050976,12.798883704406313,0.9200935814532688,93.64922010872347,3
fold_1,latest_available,local_hour,10,7336,8.352099236641221,0.7001090512540894,12.913576881134134,35.58979611891953,0.3821422762173359,80.39399037061305,3
fold_1,previous_day_24h,local_hour,11,7336,20.589558342420936,0.6815703380588877,5.495229007633588,15.871970211225872,0.8964135544800286,63.22224690827868,3
fold_1,previous_week_168h,local_hour,11,7336,20.891221374045802,0.6898854961832062,5.646401308615049,16.75496150414714,0.8845674950657397,63.34257940154367,3
fold_1,zone_hour_average,local_hour,11,7336,22.599514226231786,0.950381679389313,4.993769207891345,15.0336247493409,0.9070672769149843,83.34030525723642,3
fold_1,rolling_mean_24h,local_hour,11,7336,19.318861323155215,0.920392584514722,6.8383769538349695,19.556333211741375,0.8427407832568162,81.33394584022302,3
fold_1,hist_gradient_boosting,local_hour,11,7336,20.684497282172455,1.0,4.813241621134939,13.879491354833322,0.92078847894839,93.23831711136287,3
fold_1,latest_available,local_hour,11,7336,14.368729552889858,0.7283260632497274,10.871455834242093,28.990675088617444,0.6544125929675456,79.15672065232278,3
fold_1,previous_day_24h,local_hour,12,7336,22.110687022900763,0.6793893129770993,5.84201199563795,16.531903824324246,0.9023637407188017,64.1413750672013,3
fold_1,previous_week_168h,local_hour,12,7336,22.337786259541986,0.6842966194111232,5.9276172300981465,17.672999849038707,0.8884201073179336,63.039475086423174,3
fold_1,zone_hour_average,local_hour,12,7336,24.484038861901457,0.9465648854961832,5.4767596906909874,16.000601543517337,0.9085385647015893,83.02480503722691,3
fold_1,rolling_mean_24h,local_hour,12,7336,19.31711195928753,0.920392584514722,7.205107233733188,20.581621575515452,0.8486701612115772,81.30729160966271,3
fold_1,hist_gradient_boosting,local_hour,12,7336,22.553161848275128,1.0,5.001127571966414,14.338668687586665,0.9265514795453413,93.63476415790136,3
fold_1,latest_available,local_hour,12,7336,18.74850054525627,0.7425027262813523,10.296892039258452,26.43556083710128,0.7503437465221188,75.64074956466253,3
fold_1,previous_day_24h,local_hour,13,7336,23.238276990185387,0.690567066521265,6.215648854961832,17.50668979470868,0.8995708448124465,64.5850184164464,3
fold_1,previous_week_168h,local_hour,13,7336,23.419847328244273,0.695474372955289,6.244002181025082,18.814032791510797,0.8840113403549767,62.49705610467169,3
fold_1,zone_hour_average,local_hour,13,7336,25.545523941707145,0.9427480916030534,5.843407356002777,16.778322734761936,0.9077537278921164,81.72020424835284,3
fold_1,rolling_mean_24h,local_hour,13,7336,19.3138574609233,0.9202562704471101,7.289309569247546,21.06117956495595,0.8546493031292185,79.55323520939109,3
fold_1,hist_gradient_boosting,local_hour,13,7336,23.198588809660023,1.0,5.107038349918421,14.783132896298637,0.9283881820828087,92.10448413077324,3
fold_1,latest_available,local_hour,13,7336,19.110687022900763,0.7134678298800436,8.917121046892039,24.298769664272772,0.8065270271313466,67.55035457051892,3
