zone_id,neighbor_id,shared_boundary_m,overlap_m2,qualifies
125,211,443.80828247157274,0.007536818423673238,True
125,249,363.82284392369104,0.0,True
125,158,8.724718748668627,0.011360582956761374,True
126,213,153.31045188592486,0.02924709848578683,True
126,212,0.0,0.0,False
126,168,553.1081498494893,0.0,True
126,147,2661.7608130853005,0.0,True
126,167,778.9591833161786,0.0,True
127,243,242.22137846252284,0.005655846347755616,True
127,128,1411.9262919048695,0.018206237645508435,True
128,243,268.4953295547645,0.006150330378704,True
128,220,3.46107079143499,0.0,True
129,260,826.6712421859086,0.01853327678346492,True
129,207,368.98760421360544,0.01374345761389152,True
129,173,921.4735103505172,0.0,True
129,138,839.9246394438982,0.008846602452117982,True
129,223,313.58944613427485,0.012866311523294658,True
130,216,0.0,0.0,False
130,205,1091.6866463154238,0.003261900563290469,True
130,197,1047.9943734999079,0.0051261749028914975,True
130,215,3664.874466639365,0.02507207238527239,True
130,134,0.0,0.0,False
130,131,1291.3122818694308,0.015501200942630642,True
131,191,1134.491998063079,0.0,True
131,175,0.0,0.0,False
132,203,1286.936158297992,0.0,True
132,219,2747.5007772941435,0.017455228589553434,True
132,216,1288.4497814503159,0.022341416729868096,True
133,257,832.9021958050841,0.0020520540422547732,True
134,197,1678.9207276465017,0.0,True
135,192,1918.8701846905929,0.020939442473647922,True
136,235,1355.7490272494551,0.019110212870451664,True
136,153,133.88584372671093,0.0,True
136,241,1042.3039708970396,0.0034802080055504657,True
136,220,78.8431437433462,0.002256663058799383,True
137,224,286.05087320448285,0.0,True
137,233,174.42401726139258,0.0,True
137,170,765.4777016520402,0.0,True
138,199,1.7608569650591772,0.0,True
138,223,333.2938876122483,0.03974867521867781,True
139,203,1630.4268701646852,0.0,True
139,219,409.9678737066962,0.02001727691102317,True
139,218,998.6577051022009,0.0,True
139,205,1049.175905563901,0.006728130579810849,True
140,229,308.0580670227592,0.0,True
140,141,1568.232631345727,0.0010704097201510937,True
140,262,503.5045178622009,0.0,True
140,263,0.0,0.0,False
141,229,337.69796711527556,0.0052271429705873715,True
141,237,1449.5220920162974,0.0,True
141,162,0.0,0.0,False
141,262,0.0,0.0,False
141,263,444.98214345677343,0.0,True
141,236,167.37552701670012,0.0,True
142,163,68.64072386704483,0.0,True
142,143,802.979241414836,0.012036768354599773,True
142,239,547.8977745340102,0.0,True
143,239,382.31257097108505,0.006108976944852419,True
144,148,610.8969703708443,0.0,True
144,231,152.87354326802344,0.0028678945976743984,True
144,211,797.2457742144326,0.0,True
145,193,410.9868656180286,0.0,True
145,226,1391.803951265311,0.019691896713040908,True
145,146,690.2862036756903,0.0,True
146,193,838.9365252954304,0.0002809666992535717,True
146,226,687.2674171391238,0.0,True
147,168,306.72286831735806,0.0,True
147,159,948.7116080466504,0.0,True
147,167,1427.605405028751,0.008604197071423564,True
148,232,995.9033418221765,0.011549612512236952,True
